jhu_uid,fips,weight
16,60000,1.0
316,66000,1.0
580,69000,1.0
630,72000,1.0
63072001,72001,1.0
63072003,72003,1.0
63072005,72005,1.0
63072007,72007,1.0
63072009,72009,1.0
63072011,72011,1.0
63072013,72013,1.0
63072015,72015,1.0
63072017,72017,1.0
63072019,72019,1.0
63072021,72021,1.0
63072023,72023,1.0
63072025,72025,1.0
63072027,72027,1.0
63072029,72029,1.0
63072031,72031,1.0
63072033,72033,1.0
63072035,72035,1.0
63072037,72037,1.0
63072039,72039,1.0
63072041,72041,1.0
63072043,72043,1.0
63072045,72045,1.0
63072047,72047,1.0
63072049,72049,1.0
63072051,72051,1.0
63072053,72053,1.0
63072054,72054,1.0
63072055,72055,1.0
63072057,72057,1.0
63072059,72059,1.0
63072061,72061,1.0
63072063,72063,1.0
63072065,72065,1.0
63072067,72067,1.0
63072069,72069,1.0
63072071,72071,1.0
63072073,72073,1.0
63072075,72075,1.0
63072077,72077,1.0
63072079,72079,1.0
63072081,72081,1.0
63072083,72083,1.0
63072085,72085,1.0
63072087,72087,1.0
63072089,72089,1.0
63072091,72091,1.0
63072093,72093,1.0
63072095,72095,1.0
63072097,72097,1.0
63072099,72099,1.0
63072101,72101,1.0
63072103,72103,1.0
63072105,72105,1.0
63072107,72107,1.0
63072109,72109,1.0
63072111,72111,1.0
63072113,72113,1.0
63072115,72115,1.0
63072117,72117,1.0
63072119,72119,1.0
63072121,72121,1.0
63072123,72123,1.0
63072125,72125,1.0
63072127,72127,1.0
63072129,72129,1.0
63072131,72131,1.0
63072133,72133,1.0
63072135,72135,1.0
63072137,72137,1.0
63072139,72139,1.0
63072141,72141,1.0
63072143,72143,1.0
63072145,72145,1.0
63072147,72147,1.0
63072149,72149,1.0
63072151,72151,1.0
63072153,72153,1.0
63072888,72000,1.0
63072999,72000,1.0
84000001,01000,1.0
84000002,02000,1.0
84000004,04000,1.0
84000005,05000,1.0
84000006,06000,1.0
84000008,08000,1.0
84000009,09000,1.0
84000010,10000,1.0
84000011,11000,1.0
84000012,12000,1.0
84000013,13000,1.0
84000015,15000,1.0
84000016,16000,1.0
84000017,17000,1.0
84000018,18000,1.0
84000019,19000,1.0
84000020,20000,1.0
84000021,21000,1.0
84000022,22000,1.0
84000023,23000,1.0
84000024,24000,1.0
84000025,25000,1.0
84000026,26000,1.0
84000027,27000,1.0
84000028,28000,1.0
84000029,29000,1.0
84000030,30000,1.0
84000031,31000,1.0
84000032,32000,1.0
84000033,33000,1.0
84000034,34000,1.0
84000035,35000,1.0
84000036,36000,1.0
84000037,37000,1.0
84000038,38000,1.0
84000039,39000,1.0
84000040,40000,1.0
84000041,41000,1.0
84000042,42000,1.0
84000044,44000,1.0
84000045,45000,1.0
84000046,46000,1.0
84000047,47000,1.0
84000048,48000,1.0
84000049,49000,1.0
84000050,50000,1.0
84000051,51000,1.0
84000053,53000,1.0
84000054,54000,1.0
84000055,55000,1.0
84000056,56000,1.0
84001001,01001,1.0
84001003,01003,1.0
84001005,01005,1.0
84001007,01007,1.0
84001009,01009,1.0
84001011,01011,1.0
84001013,01013,1.0
84001015,01015,1.0
84001017,01017,1.0
84001019,01019,1.0
84001021,01021,1.0
84001023,01023,1.0
84001025,01025,1.0
84001027,01027,1.0
84001029,01029,1.0
84001031,01031,1.0
84001033,01033,1.0
84001035,01035,1.0
84001037,01037,1.0
84001039,01039,1.0
84001041,01041,1.0
84001043,01043,1.0
84001045,01045,1.0
84001047,01047,1.0
84001049,01049,1.0
84001051,01051,1.0
84001053,01053,1.0
84001055,01055,1.0
84001057,01057,1.0
84001059,01059,1.0
84001061,01061,1.0
84001063,01063,1.0
84001065,01065,1.0
84001067,01067,1.0
84001069,01069,1.0
84001071,01071,1.0
84001073,01073,1.0
84001075,01075,1.0
84001077,01077,1.0
84001079,01079,1.0
84001081,01081,1.0
84001083,01083,1.0
84001085,01085,1.0
84001087,01087,1.0
84001089,01089,1.0
84001091,01091,1.0
84001093,01093,1.0
84001095,01095,1.0
84001097,01097,1.0
84001099,01099,1.0
84001101,01101,1.0
84001103,01103,1.0
84001105,01105,1.0
84001107,01107,1.0
84001109,01109,1.0
84001111,01111,1.0
84001113,01113,1.0
84001115,01115,1.0
84001117,01117,1.0
84001119,01119,1.0
84001121,01121,1.0
84001123,01123,1.0
84001125,01125,1.0
84001127,01127,1.0
84001129,01129,1.0
84001131,01131,1.0
84001133,01133,1.0
84002013,02013,1.0
84002016,02016,1.0
84002020,02020,1.0
84002050,02050,1.0
84002060,02060,1.0
84002063,02063,1.0
84002066,02066,1.0
84002068,02068,1.0
84002070,02070,1.0
84002090,02090,1.0
84002100,02100,1.0
84002105,02105,1.0
84002110,02110,1.0
84002122,02122,1.0
84002130,02130,1.0
84002150,02150,1.0
84002158,02270,1.0
84002164,02164,1.0
84002170,02170,1.0
84002180,02180,1.0
84002185,02185,1.0
84002188,02188,1.0
84002195,02195,1.0
84002198,02198,1.0
84002220,02220,1.0
84002230,02230,1.0
84002240,02240,1.0
84002261,02261,1.0
84002275,02275,1.0
84002282,02282,1.0
84002290,02290,1.0
84004001,04001,1.0
84004003,04003,1.0
84004005,04005,1.0
84004007,04007,1.0
84004009,04009,1.0
84004011,04011,1.0
84004012,04012,1.0
84004013,04013,1.0
84004015,04015,1.0
84004017,04017,1.0
84004019,04019,1.0
84004021,04021,1.0
84004023,04023,1.0
84004025,04025,1.0
84004027,04027,1.0
84005001,05001,1.0
84005003,05003,1.0
84005005,05005,1.0
84005007,05007,1.0
84005009,05009,1.0
84005011,05011,1.0
84005013,05013,1.0
84005015,05015,1.0
84005017,05017,1.0
84005019,05019,1.0
84005021,05021,1.0
84005023,05023,1.0
84005025,05025,1.0
84005027,05027,1.0
84005029,05029,1.0
84005031,05031,1.0
84005033,05033,1.0
84005035,05035,1.0
84005037,05037,1.0
84005039,05039,1.0
84005041,05041,1.0
84005043,05043,1.0
84005045,05045,1.0
84005047,05047,1.0
84005049,05049,1.0
84005051,05051,1.0
84005053,05053,1.0
84005055,05055,1.0
84005057,05057,1.0
84005059,05059,1.0
84005061,05061,1.0
84005063,05063,1.0
84005065,05065,1.0
84005067,05067,1.0
84005069,05069,1.0
84005071,05071,1.0
84005073,05073,1.0
84005075,05075,1.0
84005077,05077,1.0
84005079,05079,1.0
84005081,05081,1.0
84005083,05083,1.0
84005085,05085,1.0
84005087,05087,1.0
84005089,05089,1.0
84005091,05091,1.0
84005093,05093,1.0
84005095,05095,1.0
84005097,05097,1.0
84005099,05099,1.0
84005101,05101,1.0
84005103,05103,1.0
84005105,05105,1.0
84005107,05107,1.0
84005109,05109,1.0
84005111,05111,1.0
84005113,05113,1.0
84005115,05115,1.0
84005117,05117,1.0
84005119,05119,1.0
84005121,05121,1.0
84005123,05123,1.0
84005125,05125,1.0
84005127,05127,1.0
84005129,05129,1.0
84005131,05131,1.0
84005133,05133,1.0
84005135,05135,1.0
84005137,05137,1.0
84005139,05139,1.0
84005141,05141,1.0
84005143,05143,1.0
84005145,05145,1.0
84005147,05147,1.0
84005149,05149,1.0
84006001,06001,1.0
84006003,06003,1.0
84006005,06005,1.0
84006007,06007,1.0
84006009,06009,1.0
84006011,06011,1.0
84006013,06013,1.0
84006015,06015,1.0
84006017,06017,1.0
84006019,06019,1.0
84006021,06021,1.0
84006023,06023,1.0
84006025,06025,1.0
84006027,06027,1.0
84006029,06029,1.0
84006031,06031,1.0
84006033,06033,1.0
84006035,06035,1.0
84006037,06037,1.0
84006039,06039,1.0
84006041,06041,1.0
84006043,06043,1.0
84006045,06045,1.0
84006047,06047,1.0
84006049,06049,1.0
84006051,06051,1.0
84006053,06053,1.0
84006055,06055,1.0
84006057,06057,1.0
84006059,06059,1.0
84006061,06061,1.0
84006063,06063,1.0
84006065,06065,1.0
84006067,06067,1.0
84006069,06069,1.0
84006071,06071,1.0
84006073,06073,1.0
84006075,06075,1.0
84006077,06077,1.0
84006079,06079,1.0
84006081,06081,1.0
84006083,06083,1.0
84006085,06085,1.0
84006087,06087,1.0
84006089,06089,1.0
84006091,06091,1.0
84006093,06093,1.0
84006095,06095,1.0
84006097,06097,1.0
84006099,06099,1.0
84006101,06101,1.0
84006103,06103,1.0
84006105,06105,1.0
84006107,06107,1.0
84006109,06109,1.0
84006111,06111,1.0
84006113,06113,1.0
84006115,06115,1.0
84008001,08001,1.0
84008003,08003,1.0
84008005,08005,1.0
84008007,08007,1.0
84008009,08009,1.0
84008011,08011,1.0
84008013,08013,1.0
84008014,08014,1.0
84008015,08015,1.0
84008017,08017,1.0
84008019,08019,1.0
84008021,08021,1.0
84008023,08023,1.0
84008025,08025,1.0
84008027,08027,1.0
84008029,08029,1.0
84008031,08031,1.0
84008033,08033,1.0
84008035,08035,1.0
84008037,08037,1.0
84008039,08039,1.0
84008041,08041,1.0
84008043,08043,1.0
84008045,08045,1.0
84008047,08047,1.0
84008049,08049,1.0
84008051,08051,1.0
84008053,08053,1.0
84008055,08055,1.0
84008057,08057,1.0
84008059,08059,1.0
84008061,08061,1.0
84008063,08063,1.0
84008065,08065,1.0
84008067,08067,1.0
84008069,08069,1.0
84008071,08071,1.0
84008073,08073,1.0
84008075,08075,1.0
84008077,08077,1.0
84008079,08079,1.0
84008081,08081,1.0
84008083,08083,1.0
84008085,08085,1.0
84008087,08087,1.0
84008089,08089,1.0
84008091,08091,1.0
84008093,08093,1.0
84008095,08095,1.0
84008097,08097,1.0
84008099,08099,1.0
84008101,08101,1.0
84008103,08103,1.0
84008105,08105,1.0
84008107,08107,1.0
84008109,08109,1.0
84008111,08111,1.0
84008113,08113,1.0
84008115,08115,1.0
84008117,08117,1.0
84008119,08119,1.0
84008121,08121,1.0
84008123,08123,1.0
84008125,08125,1.0
84009001,09001,1.0
84009003,09003,1.0
84009005,09005,1.0
84009007,09007,1.0
84009009,09009,1.0
84009011,09011,1.0
84009013,09013,1.0
84009015,09015,1.0
84010001,10001,1.0
84010003,10003,1.0
84010005,10005,1.0
84011001,11001,1.0
84012001,12001,1.0
84012003,12003,1.0
84012005,12005,1.0
84012007,12007,1.0
84012009,12009,1.0
84012011,12011,1.0
84012013,12013,1.0
84012015,12015,1.0
84012017,12017,1.0
84012019,12019,1.0
84012021,12021,1.0
84012023,12023,1.0
84012027,12027,1.0
84012029,12029,1.0
84012031,12031,1.0
84012033,12033,1.0
84012035,12035,1.0
84012037,12037,1.0
84012039,12039,1.0
84012041,12041,1.0
84012043,12043,1.0
84012045,12045,1.0
84012047,12047,1.0
84012049,12049,1.0
84012051,12051,1.0
84012053,12053,1.0
84012055,12055,1.0
84012057,12057,1.0
84012059,12059,1.0
84012061,12061,1.0
84012063,12063,1.0
84012065,12065,1.0
84012067,12067,1.0
84012069,12069,1.0
84012071,12071,1.0
84012073,12073,1.0
84012075,12075,1.0
84012077,12077,1.0
84012079,12079,1.0
84012081,12081,1.0
84012083,12083,1.0
84012085,12085,1.0
84012086,12086,1.0
84012087,12087,1.0
84012089,12089,1.0
84012091,12091,1.0
84012093,12093,1.0
84012095,12095,1.0
84012097,12097,1.0
84012099,12099,1.0
84012101,12101,1.0
84012103,12103,1.0
84012105,12105,1.0
84012107,12107,1.0
84012109,12109,1.0
84012111,12111,1.0
84012113,12113,1.0
84012115,12115,1.0
84012117,12117,1.0
84012119,12119,1.0
84012121,12121,1.0
84012123,12123,1.0
84012125,12125,1.0
84012127,12127,1.0
84012129,12129,1.0
84012131,12131,1.0
84012133,12133,1.0
84013001,13001,1.0
84013003,13003,1.0
84013005,13005,1.0
84013007,13007,1.0
84013009,13009,1.0
84013011,13011,1.0
84013013,13013,1.0
84013015,13015,1.0
84013017,13017,1.0
84013019,13019,1.0
84013021,13021,1.0
84013023,13023,1.0
84013025,13025,1.0
84013027,13027,1.0
84013029,13029,1.0
84013031,13031,1.0
84013033,13033,1.0
84013035,13035,1.0
84013037,13037,1.0
84013039,13039,1.0
84013043,13043,1.0
84013045,13045,1.0
84013047,13047,1.0
84013049,13049,1.0
84013051,13051,1.0
84013053,13053,1.0
84013055,13055,1.0
84013057,13057,1.0
84013059,13059,1.0
84013061,13061,1.0
84013063,13063,1.0
84013065,13065,1.0
84013067,13067,1.0
84013069,13069,1.0
84013071,13071,1.0
84013073,13073,1.0
84013075,13075,1.0
84013077,13077,1.0
84013079,13079,1.0
84013081,13081,1.0
84013083,13083,1.0
84013085,13085,1.0
84013087,13087,1.0
84013089,13089,1.0
84013091,13091,1.0
84013093,13093,1.0
84013095,13095,1.0
84013097,13097,1.0
84013099,13099,1.0
84013101,13101,1.0
84013103,13103,1.0
84013105,13105,1.0
84013107,13107,1.0
84013109,13109,1.0
84013111,13111,1.0
84013113,13113,1.0
84013115,13115,1.0
84013117,13117,1.0
84013119,13119,1.0
84013121,13121,1.0
84013123,13123,1.0
84013125,13125,1.0
84013127,13127,1.0
84013129,13129,1.0
84013131,13131,1.0
84013133,13133,1.0
84013135,13135,1.0
84013137,13137,1.0
84013139,13139,1.0
84013141,13141,1.0
84013143,13143,1.0
84013145,13145,1.0
84013147,13147,1.0
84013149,13149,1.0
84013151,13151,1.0
84013153,13153,1.0
84013155,13155,1.0
84013157,13157,1.0
84013159,13159,1.0
84013161,13161,1.0
84013163,13163,1.0
84013165,13165,1.0
84013167,13167,1.0
84013169,13169,1.0
84013171,13171,1.0
84013173,13173,1.0
84013175,13175,1.0
84013177,13177,1.0
84013179,13179,1.0
84013181,13181,1.0
84013183,13183,1.0
84013185,13185,1.0
84013187,13187,1.0
84013189,13189,1.0
84013191,13191,1.0
84013193,13193,1.0
84013195,13195,1.0
84013197,13197,1.0
84013199,13199,1.0
84013201,13201,1.0
84013205,13205,1.0
84013207,13207,1.0
84013209,13209,1.0
84013211,13211,1.0
84013213,13213,1.0
84013215,13215,1.0
84013217,13217,1.0
84013219,13219,1.0
84013221,13221,1.0
84013223,13223,1.0
84013225,13225,1.0
84013227,13227,1.0
84013229,13229,1.0
84013231,13231,1.0
84013233,13233,1.0
84013235,13235,1.0
84013237,13237,1.0
84013239,13239,1.0
84013241,13241,1.0
84013243,13243,1.0
84013245,13245,1.0
84013247,13247,1.0
84013249,13249,1.0
84013251,13251,1.0
84013253,13253,1.0
84013255,13255,1.0
84013257,13257,1.0
84013259,13259,1.0
84013261,13261,1.0
84013263,13263,1.0
84013265,13265,1.0
84013267,13267,1.0
84013269,13269,1.0
84013271,13271,1.0
84013273,13273,1.0
84013275,13275,1.0
84013277,13277,1.0
84013279,13279,1.0
84013281,13281,1.0
84013283,13283,1.0
84013285,13285,1.0
84013287,13287,1.0
84013289,13289,1.0
84013291,13291,1.0
84013293,13293,1.0
84013295,13295,1.0
84013297,13297,1.0
84013299,13299,1.0
84013301,13301,1.0
84013303,13303,1.0
84013305,13305,1.0
84013307,13307,1.0
84013309,13309,1.0
84013311,13311,1.0
84013313,13313,1.0
84013315,13315,1.0
84013317,13317,1.0
84013319,13319,1.0
84013321,13321,1.0
84015001,15001,1.0
84015003,15003,1.0
84015005,15005,1.0
84015007,15007,1.0
84015009,15009,1.0
84016001,16001,1.0
84016003,16003,1.0
84016005,16005,1.0
84016007,16007,1.0
84016009,16009,1.0
84016011,16011,1.0
84016013,16013,1.0
84016015,16015,1.0
84016017,16017,1.0
84016019,16019,1.0
84016021,16021,1.0
84016023,16023,1.0
84016025,16025,1.0
84016027,16027,1.0
84016029,16029,1.0
84016031,16031,1.0
84016033,16033,1.0
84016035,16035,1.0
84016037,16037,1.0
84016039,16039,1.0
84016041,16041,1.0
84016043,16043,1.0
84016045,16045,1.0
84016047,16047,1.0
84016049,16049,1.0
84016051,16051,1.0
84016053,16053,1.0
84016055,16055,1.0
84016057,16057,1.0
84016059,16059,1.0
84016061,16061,1.0
84016063,16063,1.0
84016065,16065,1.0
84016067,16067,1.0
84016069,16069,1.0
84016071,16071,1.0
84016073,16073,1.0
84016075,16075,1.0
84016077,16077,1.0
84016079,16079,1.0
84016081,16081,1.0
84016083,16083,1.0
84016085,16085,1.0
84016087,16087,1.0
84017001,17001,1.0
84017003,17003,1.0
84017005,17005,1.0
84017007,17007,1.0
84017009,17009,1.0
84017011,17011,1.0
84017013,17013,1.0
84017015,17015,1.0
84017017,17017,1.0
84017019,17019,1.0
84017021,17021,1.0
84017023,17023,1.0
84017025,17025,1.0
84017027,17027,1.0
84017029,17029,1.0
84017031,17031,1.0
84017033,17033,1.0
84017035,17035,1.0
84017037,17037,1.0
84017039,17039,1.0
84017041,17041,1.0
84017043,17043,1.0
84017045,17045,1.0
84017047,17047,1.0
84017049,17049,1.0
84017051,17051,1.0
84017053,17053,1.0
84017055,17055,1.0
84017057,17057,1.0
84017059,17059,1.0
84017061,17061,1.0
84017063,17063,1.0
84017065,17065,1.0
84017067,17067,1.0
84017069,17069,1.0
84017071,17071,1.0
84017073,17073,1.0
84017075,17075,1.0
84017077,17077,1.0
84017079,17079,1.0
84017081,17081,1.0
84017083,17083,1.0
84017085,17085,1.0
84017087,17087,1.0
84017089,17089,1.0
84017091,17091,1.0
84017093,17093,1.0
84017095,17095,1.0
84017097,17097,1.0
84017099,17099,1.0
84017101,17101,1.0
84017103,17103,1.0
84017105,17105,1.0
84017107,17107,1.0
84017109,17109,1.0
84017111,17111,1.0
84017113,17113,1.0
84017115,17115,1.0
84017117,17117,1.0
84017119,17119,1.0
84017121,17121,1.0
84017123,17123,1.0
84017125,17125,1.0
84017127,17127,1.0
84017129,17129,1.0
84017131,17131,1.0
84017133,17133,1.0
84017135,17135,1.0
84017137,17137,1.0
84017139,17139,1.0
84017141,17141,1.0
84017143,17143,1.0
84017145,17145,1.0
84017147,17147,1.0
84017149,17149,1.0
84017151,17151,1.0
84017153,17153,1.0
84017155,17155,1.0
84017157,17157,1.0
84017159,17159,1.0
84017161,17161,1.0
84017163,17163,1.0
84017165,17165,1.0
84017167,17167,1.0
84017169,17169,1.0
84017171,17171,1.0
84017173,17173,1.0
84017175,17175,1.0
84017177,17177,1.0
84017179,17179,1.0
84017181,17181,1.0
84017183,17183,1.0
84017185,17185,1.0
84017187,17187,1.0
84017189,17189,1.0
84017191,17191,1.0
84017193,17193,1.0
84017195,17195,1.0
84017197,17197,1.0
84017199,17199,1.0
84017201,17201,1.0
84017203,17203,1.0
84018001,18001,1.0
84018003,18003,1.0
84018005,18005,1.0
84018007,18007,1.0
84018009,18009,1.0
84018011,18011,1.0
84018013,18013,1.0
84018015,18015,1.0
84018017,18017,1.0
84018019,18019,1.0
84018021,18021,1.0
84018023,18023,1.0
84018025,18025,1.0
84018027,18027,1.0
84018029,18029,1.0
84018031,18031,1.0
84018033,18033,1.0
84018035,18035,1.0
84018037,18037,1.0
84018039,18039,1.0
84018041,18041,1.0
84018043,18043,1.0
84018045,18045,1.0
84018047,18047,1.0
84018049,18049,1.0
84018051,18051,1.0
84018053,18053,1.0
84018055,18055,1.0
84018057,18057,1.0
84018059,18059,1.0
84018061,18061,1.0
84018063,18063,1.0
84018065,18065,1.0
84018067,18067,1.0
84018069,18069,1.0
84018071,18071,1.0
84018073,18073,1.0
84018075,18075,1.0
84018077,18077,1.0
84018079,18079,1.0
84018081,18081,1.0
84018083,18083,1.0
84018085,18085,1.0
84018087,18087,1.0
84018089,18089,1.0
84018091,18091,1.0
84018093,18093,1.0
84018095,18095,1.0
84018097,18097,1.0
84018099,18099,1.0
84018101,18101,1.0
84018103,18103,1.0
84018105,18105,1.0
84018107,18107,1.0
84018109,18109,1.0
84018111,18111,1.0
84018113,18113,1.0
84018115,18115,1.0
84018117,18117,1.0
84018119,18119,1.0
84018121,18121,1.0
84018123,18123,1.0
84018125,18125,1.0
84018127,18127,1.0
84018129,18129,1.0
84018131,18131,1.0
84018133,18133,1.0
84018135,18135,1.0
84018137,18137,1.0
84018139,18139,1.0
84018141,18141,1.0
84018143,18143,1.0
84018145,18145,1.0
84018147,18147,1.0
84018149,18149,1.0
84018151,18151,1.0
84018153,18153,1.0
84018155,18155,1.0
84018157,18157,1.0
84018159,18159,1.0
84018161,18161,1.0
84018163,18163,1.0
84018165,18165,1.0
84018167,18167,1.0
84018169,18169,1.0
84018171,18171,1.0
84018173,18173,1.0
84018175,18175,1.0
84018177,18177,1.0
84018179,18179,1.0
84018181,18181,1.0
84018183,18183,1.0
84019001,19001,1.0
84019003,19003,1.0
84019005,19005,1.0
84019007,19007,1.0
84019009,19009,1.0
84019011,19011,1.0
84019013,19013,1.0
84019015,19015,1.0
84019017,19017,1.0
84019019,19019,1.0
84019021,19021,1.0
84019023,19023,1.0
84019025,19025,1.0
84019027,19027,1.0
84019029,19029,1.0
84019031,19031,1.0
84019033,19033,1.0
84019035,19035,1.0
84019037,19037,1.0
84019039,19039,1.0
84019041,19041,1.0
84019043,19043,1.0
84019045,19045,1.0
84019047,19047,1.0
84019049,19049,1.0
84019051,19051,1.0
84019053,19053,1.0
84019055,19055,1.0
84019057,19057,1.0
84019059,19059,1.0
84019061,19061,1.0
84019063,19063,1.0
84019065,19065,1.0
84019067,19067,1.0
84019069,19069,1.0
84019071,19071,1.0
84019073,19073,1.0
84019075,19075,1.0
84019077,19077,1.0
84019079,19079,1.0
84019081,19081,1.0
84019083,19083,1.0
84019085,19085,1.0
84019087,19087,1.0
84019089,19089,1.0
84019091,19091,1.0
84019093,19093,1.0
84019095,19095,1.0
84019097,19097,1.0
84019099,19099,1.0
84019101,19101,1.0
84019103,19103,1.0
84019105,19105,1.0
84019107,19107,1.0
84019109,19109,1.0
84019111,19111,1.0
84019113,19113,1.0
84019115,19115,1.0
84019117,19117,1.0
84019119,19119,1.0
84019121,19121,1.0
84019123,19123,1.0
84019125,19125,1.0
84019127,19127,1.0
84019129,19129,1.0
84019131,19131,1.0
84019133,19133,1.0
84019135,19135,1.0
84019137,19137,1.0
84019139,19139,1.0
84019141,19141,1.0
84019143,19143,1.0
84019145,19145,1.0
84019147,19147,1.0
84019149,19149,1.0
84019151,19151,1.0
84019153,19153,1.0
84019155,19155,1.0
84019157,19157,1.0
84019159,19159,1.0
84019161,19161,1.0
84019163,19163,1.0
84019165,19165,1.0
84019167,19167,1.0
84019169,19169,1.0
84019171,19171,1.0
84019173,19173,1.0
84019175,19175,1.0
84019177,19177,1.0
84019179,19179,1.0
84019181,19181,1.0
84019183,19183,1.0
84019185,19185,1.0
84019187,19187,1.0
84019189,19189,1.0
84019191,19191,1.0
84019193,19193,1.0
84019195,19195,1.0
84019197,19197,1.0
84020001,20001,1.0
84020003,20003,1.0
84020005,20005,1.0
84020007,20007,1.0
84020009,20009,1.0
84020011,20011,1.0
84020013,20013,1.0
84020015,20015,1.0
84020017,20017,1.0
84020019,20019,1.0
84020021,20021,1.0
84020023,20023,1.0
84020025,20025,1.0
84020027,20027,1.0
84020029,20029,1.0
84020031,20031,1.0
84020033,20033,1.0
84020035,20035,1.0
84020037,20037,1.0
84020039,20039,1.0
84020041,20041,1.0
84020043,20043,1.0
84020045,20045,1.0
84020047,20047,1.0
84020049,20049,1.0
84020051,20051,1.0
84020053,20053,1.0
84020055,20055,1.0
84020057,20057,1.0
84020059,20059,1.0
84020061,20061,1.0
84020063,20063,1.0
84020065,20065,1.0
84020067,20067,1.0
84020069,20069,1.0
84020071,20071,1.0
84020073,20073,1.0
84020075,20075,1.0
84020077,20077,1.0
84020079,20079,1.0
84020081,20081,1.0
84020083,20083,1.0
84020085,20085,1.0
84020087,20087,1.0
84020089,20089,1.0
84020091,20091,1.0
84020093,20093,1.0
84020095,20095,1.0
84020097,20097,1.0
84020099,20099,1.0
84020101,20101,1.0
84020103,20103,1.0
84020105,20105,1.0
84020107,20107,1.0
84020109,20109,1.0
84020111,20111,1.0
84020113,20113,1.0
84020115,20115,1.0
84020117,20117,1.0
84020119,20119,1.0
84020121,20121,1.0
84020123,20123,1.0
84020125,20125,1.0
84020127,20127,1.0
84020129,20129,1.0
84020131,20131,1.0
84020133,20133,1.0
84020135,20135,1.0
84020137,20137,1.0
84020139,20139,1.0
84020141,20141,1.0
84020143,20143,1.0
84020145,20145,1.0
84020147,20147,1.0
84020149,20149,1.0
84020151,20151,1.0
84020153,20153,1.0
84020155,20155,1.0
84020157,20157,1.0
84020159,20159,1.0
84020161,20161,1.0
84020163,20163,1.0
84020165,20165,1.0
84020167,20167,1.0
84020169,20169,1.0
84020171,20171,1.0
84020173,20173,1.0
84020175,20175,1.0
84020177,20177,1.0
84020179,20179,1.0
84020181,20181,1.0
84020183,20183,1.0
84020185,20185,1.0
84020187,20187,1.0
84020189,20189,1.0
84020191,20191,1.0
84020193,20193,1.0
84020195,20195,1.0
84020197,20197,1.0
84020199,20199,1.0
84020201,20201,1.0
84020203,20203,1.0
84020205,20205,1.0
84020207,20207,1.0
84020209,20209,1.0
84021001,21001,1.0
84021003,21003,1.0
84021005,21005,1.0
84021007,21007,1.0
84021009,21009,1.0
84021011,21011,1.0
