state,2022-05-01 00:00:00,2022-05-02 00:00:00,2022-05-03 00:00:00,2022-05-04 00:00:00,2022-05-05 00:00:00,2022-05-06 00:00:00,2022-05-07 00:00:00,2022-05-08 00:00:00,2022-05-09 00:00:00,2022-05-10 00:00:00,2022-05-11 00:00:00,2022-05-12 00:00:00,2022-05-13 00:00:00,2022-05-14 00:00:00,2022-05-15 00:00:00,2022-05-16 00:00:00,2022-05-17 00:00:00,2022-05-18 00:00:00,2022-05-19 00:00:00,2022-05-20 00:00:00,2022-05-21 00:00:00,2022-05-22 00:00:00,2022-05-23 00:00:00,2022-05-24 00:00:00,2022-05-25 00:00:00,2022-05-26 00:00:00,2022-05-27 00:00:00,2022-05-28 00:00:00,2022-05-29 00:00:00,2022-05-30 00:00:00,2022-05-31 00:00:00,2022-06-01 00:00:00,2022-06-02 00:00:00,2022-06-03 00:00:00,2022-06-04 00:00:00,2022-06-05 00:00:00,2022-06-06 00:00:00,2022-06-07 00:00:00,2022-06-08 00:00:00,2022-06-09 00:00:00,2022-06-10 00:00:00,2022-06-11 00:00:00,2022-06-12 00:00:00,2022-06-13 00:00:00,2022-06-14 00:00:00,2022-06-15 00:00:00,lag
mo,37078.0,43183.5,49289.0,35499.0,35409.0,34971.0,34780.6666667,34590.3333333,34400.0,33784.0,33304.0,33802.0,34432.0,34499.6666667,34567.3333333,34635.0,35568.0,35985.0,35814.0,35704.0,35672.3333333,35640.6666667,35609.0,36974.0,37840.0,38622.0,40874.0,37605.5,34337.0,31068.5,27800.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,23792.0,4841.0,4843.0,4738.4285714,0
mp,0.0,60.0,120.0,253.0,285.0,305.0,315.6666667,326.3333333,337.0,235.0,124.0,92.0,155.0,159.3333333,163.6666667,168.0,169.0,147.0,147.0,64.0,49.0,34.0,19.0,160.0,160.0,249.0,269.0,253.25,237.5,221.75,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,21.2857143,21.2857143,43.5714286,0
ms,14506.0,16209.0,17912.0,13820.0,13954.0,13382.0,13215.0,13048.0,12881.0,12950.0,12532.0,12056.0,12110.0,12177.3333333,12244.6666667,12312.0,12830.0,13118.0,10738.0,13798.0,13970.6666667,14143.3333333,14316.0,14514.0,14536.0,16967.0,11687.0,11084.0,10481.0,9878.0,9275.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,11138.0,1584.0,1608.1428571,1581.7142857,0
mt,7758.0,7720.5,7683.0,7654.0,10227.0,10162.0,10140.0,10118.0,10096.0,7285.0,7280.0,6774.0,8116.0,8119.6666667,8123.3333333,8127.0,3782.0,3779.0,4185.0,2814.0,4697.6666667,6581.3333333,8465.0,8491.0,8508.0,5980.0,10305.0,8889.25,7473.5,6057.75,4642.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,4603.0,780.7142857,780.7142857,778.7142857,0
nc,78530.0,77837.0,77144.0,76417.0,69986.0,68461.0,70019.3333333,71577.6666667,73136.0,75721.0,76959.0,78167.0,79548.0,77290.6666667,75033.3333333,72776.0,70543.0,77875.0,70046.0,68568.0,70082.3333333,71596.6666667,73111.0,79215.0,73740.0,80214.0,81944.0,79248.75,76553.5,73858.25,71163.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,62607.0,8698.7142857,8589.8571429,8432.8571429,0
nd,2613.0,2286.5,1960.0,1946.0,33452.0,33672.0,33730.6666667,33789.3333333,33848.0,34169.0,34406.0,3132.0,3094.0,3058.0,3022.0,2986.0,2951.0,3011.0,2861.0,2977.0,3002.6666667,3028.3333333,3054.0,3289.0,2791.0,2878.0,2733.0,2562.75,2392.5,2222.25,2052.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,511.4285714,395.2857143,324.1428571,0
ne,17632.0,17632.0,17632.0,17812.0,13145.0,9940.0,12072.6666667,14205.3333333,16338.0,16338.0,12672.0,14658.0,17161.0,13933.6666667,10706.3333333,7479.0,7483.0,4570.0,2615.0,102.0,96.0,90.0,84.0,19844.0,19882.0,19850.0,19883.0,14948.0,10013.0,5078.0,143.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,3406.0,7.0,2119.7142857,0
nh,16499.0,18068.5,19638.0,24510.0,22192.0,20097.0,22903.0,25709.0,28515.0,30469.0,25612.0,35697.0,35651.0,29292.6666667,22934.3333333,16576.0,18559.0,18521.0,8344.0,13564.0,15854.0,18144.0,20434.0,16876.0,16889.0,17049.0,17490.0,15039.5,12589.0,10138.5,7688.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,11237.0,1286.5714286,892.8571429,883.4285714,0
nj,84645.0,85366.0,86087.0,85209.0,84087.0,80520.0,78957.3333333,77394.6666667,75832.0,72472.0,72642.0,60315.0,76205.0,78064.0,79923.0,81782.0,84267.0,82889.0,95225.0,81857.0,81279.0,80701.0,80123.0,79507.0,82877.0,85132.0,84061.0,80593.25,77125.5,73657.75,70190.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,60636.0,7325.8571429,7100.1428571,7078.2857143,0
nm,22238.0,22211.5,22185.0,22940.0,19187.0,22456.0,22292.0,22128.0,21964.0,21282.0,20733.0,26453.0,21449.0,21715.0,21981.0,22247.0,22629.0,22801.0,20056.0,20131.0,20291.3333333,20451.6666667,20612.0,20774.0,21176.0,20988.0,22007.0,21080.75,20154.5,19228.25,18302.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,2757.1428571,2832.4285714,2341.1428571,0
nv,21102.0,20818.5,20535.0,20570.0,21060.0,21025.0,20619.3333333,20213.6666667,19808.0,18794.0,18158.0,17718.0,17780.0,17891.0,18002.0,18113.0,19540.0,19618.0,18701.0,18656.0,18740.6666667,18825.3333333,18910.0,19110.0,19056.0,19320.0,20255.0,18856.0,17457.0,16058.0,14659.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,15826.0,2479.0,2390.1428571,2296.2857143,0
ny,179807.0,177036.0,174265.0,172494.0,165078.0,162992.0,153711.3333333,144430.6666667,135150.0,156044.0,156104.0,155134.0,153465.0,161141.3333333,168817.6666667,176494.0,156995.0,155410.0,154830.0,155526.0,148457.3333333,141388.6666667,134320.0,153990.0,148160.0,152633.0,156970.0,153350.25,149730.5,146110.75,142491.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,129934.0,16955.1428571,18522.0,18858.1428571,0
oh,84495.0,83970.5,83446.0,82750.0,83791.0,81913.0,80951.3333333,79989.6666667,79028.0,78386.0,110492.0,149625.0,149909.0,150001.3333333,150093.6666667,150186.0,151510.0,120033.0,78526.0,79712.0,81728.3333333,83744.6666667,85761.0,87783.0,88765.0,93020.0,93266.0,90799.25,88332.5,85865.75,83399.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,73966.0,,,6980.5714286,0
ok,22969.0,22513.5,22058.0,22024.0,21329.0,21214.0,20804.3333333,20394.6666667,19985.0,19329.0,19326.0,19290.0,19413.0,19617.6666667,19822.3333333,20027.0,20435.0,20191.0,19613.0,19565.0,19515.3333333,19465.6666667,19416.0,19577.0,20097.0,20525.0,20906.0,19372.0,17838.0,16304.0,14770.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,19294.0,2381.5714286,1761.1428571,2418.2857143,0
or,54536.0,55275.0,56014.0,55427.0,55431.0,54460.0,52342.3333333,50224.6666667,48107.0,46224.0,47232.0,44577.0,44001.0,43639.6666667,43278.3333333,42917.0,44776.0,43073.0,42614.0,42119.0,42148.6666667,42178.3333333,42208.0,43149.0,42012.0,42766.0,43947.0,40165.75,36384.5,32603.25,28822.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,38646.0,3885.5714286,4517.2857143,4401.7142857,0
pa,357186.0,360182.0,363178.0,126842.0,144133.0,125198.0,122136.0,119074.0,116012.0,116934.0,113489.0,113968.0,113776.0,104880.6666667,95985.3333333,87090.0,115610.0,116514.0,115133.0,115265.0,115251.3333333,115237.6666667,115224.0,118985.0,119818.0,121435.0,124408.0,109388.25,94368.5,79348.75,64329.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,108530.0,14146.1428571,13102.0,12890.1428571,0
pr,47778.0,42017.5,36257.0,40084.0,47067.0,26794.0,27324.6666667,27855.3333333,28386.0,28833.0,30142.0,29329.0,29311.0,25928.0,22545.0,19162.0,30951.0,30600.0,30729.0,36619.0,39131.3333333,41643.6666667,44156.0,29443.0,28368.0,26514.0,26660.0,24570.75,22481.5,20392.25,18303.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,22308.0,3189.5714286,2319.7142857,3151.0,0
ri,11959.0,11978.0,11997.0,11586.0,11358.0,11034.0,11209.0,11384.0,11559.0,11396.0,11181.0,11302.0,11587.0,11484.0,11381.0,11278.0,11587.0,12184.0,11746.0,11285.0,11399.0,11513.0,11627.0,11687.0,11580.0,11058.0,11315.0,11356.25,11397.5,11438.75,11480.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,10101.0,1086.4285714,1075.5714286,1037.5714286,0
sc,1286.0,77403.5,153521.0,153664.0,153506.0,153508.0,153366.0,153224.0,153082.0,29232.0,28961.0,29051.0,29189.0,29263.6666667,29338.3333333,29413.0,31247.0,31583.0,31473.0,31346.0,37394.3333333,43442.6666667,49491.0,31252.0,34816.0,40615.0,46955.0,40531.5,34108.0,27684.5,21261.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,25113.0,3534.2857143,3416.0,2987.5714286,0
sd,9292.0,9382.5,9473.0,9562.0,8390.0,9369.0,9118.3333333,8867.6666667,8617.0,7865.0,7556.0,8516.0,7118.0,7056.6666667,6995.3333333,6934.0,6923.0,6882.0,6782.0,6473.0,6503.0,6533.0,6563.0,5134.0,5999.0,5974.0,6298.0,6473.75,6649.5,6825.25,7001.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,6431.0,950.2857143,811.0,788.5714286,0
tn,41096.0,39859.0,38622.0,38585.0,40524.0,39946.0,39492.3333333,39038.6666667,38585.0,38760.0,38315.0,36276.0,36223.0,36367.3333333,36511.6666667,36656.0,37760.0,38007.0,43674.0,43746.0,43648.6666667,43551.3333333,43454.0,45895.0,46279.0,40661.0,41947.0,38236.0,34525.0,30814.0,27103.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,35158.0,4437.2857143,4287.7142857,4235.0,0
tx,572112.0,389551.0,206990.0,205625.0,204757.0,201576.0,203347.3333333,205118.6666667,206890.0,202132.0,198517.0,197784.0,197682.0,195088.3333333,192494.6666667,189901.0,196078.0,195308.0,189949.0,186107.0,190242.6666667,194378.3333333,198514.0,197998.0,202734.0,209101.0,209846.0,202275.25,194704.5,187133.75,179563.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,160339.0,24845.1428571,22194.0,22015.7142857,0
ut,26761.0,26806.5,26852.0,26848.0,33733.0,7416.0,7373.6666667,7331.3333333,7289.0,31903.0,31972.0,25175.0,25236.0,25237.6666667,25239.3333333,25241.0,658.0,17604.0,21484.0,21432.0,21450.6666667,21469.3333333,21488.0,21476.0,4455.0,457.0,432.0,1889.0,3346.0,4803.0,6260.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,18370.0,2996.4285714,2996.4285714,2994.0,0
va,78163.0,77830.0,77497.0,80466.0,80423.0,81643.0,81638.0,81633.0,81628.0,82364.0,79208.0,79243.0,77335.0,77908.3333333,78481.6666667,79055.0,79474.0,79916.0,79777.0,79307.0,79455.0,79603.0,79751.0,79848.0,80102.0,80102.0,83024.0,82000.5,80977.0,79953.5,78930.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,73511.0,8369.4285714,8335.8571429,8194.4285714,0
vi,1296.0,1212.0,1128.0,931.0,819.0,820.0,977.3333333,1134.6666667,1292.0,1203.0,1096.0,1017.0,841.0,723.6666667,606.3333333,489.0,586.0,532.0,631.0,589.0,621.0,653.0,685.0,563.0,552.0,394.0,469.0,421.75,374.5,327.25,280.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,30.1428571,31.7142857,28.5714286,0
vt,9657.0,9673.0,9689.0,9291.0,9281.0,9448.0,9454.3333333,9460.6666667,9467.0,9234.0,9155.0,9208.0,8904.0,8870.6666667,8837.3333333,8804.0,8676.0,8707.0,8807.0,8654.0,9050.6666667,9447.3333333,9844.0,8443.0,8290.0,7883.0,7760.0,7441.75,7123.5,6805.25,6487.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,6168.0,885.8571429,861.2857143,849.4285714,0
wa,78489.0,79672.5,80856.0,79349.0,80633.0,81499.0,81254.3333333,81009.6666667,80765.0,82391.0,83134.0,79728.0,78703.0,78563.0,78423.0,78283.0,77637.0,77768.0,76918.0,76383.0,76529.6666667,76676.3333333,76823.0,75229.0,74993.0,75287.0,77828.0,70946.5,64065.0,57183.5,50302.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,71220.0,10739.7142857,10402.4285714,10325.0,0
wi,53981.0,58730.5,63480.0,63805.0,62237.0,60042.0,62793.3333333,65544.6666667,68296.0,54082.0,53011.0,52048.0,51722.0,47864.0,44006.0,40148.0,53399.0,53381.0,52908.0,53671.0,53742.0,53813.0,53884.0,56528.0,57326.0,58555.0,60581.0,56069.5,51558.0,47046.5,42535.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,48098.0,4412.0,5731.2857143,5575.0,0
wv,11934.0,11590.0,11246.0,11283.0,9458.0,11389.0,11371.6666667,11354.3333333,11337.0,11297.0,11202.0,12482.0,10414.0,10352.6666667,10291.3333333,10230.0,7144.0,12234.0,10828.0,10599.0,10560.0,10521.0,10482.0,13886.0,8767.0,10847.0,11081.0,10217.5,9354.0,8490.5,7627.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,9198.0,1187.7142857,832.1428571,1122.8571429,0
wy,3341.0,3213.5,3086.0,3001.0,2986.0,2973.0,2958.0,2943.0,2928.0,2908.125,2888.25,2868.375,2848.5,2828.625,2808.75,2788.875,2769.0,2797.0,2706.0,2666.0,2637.6666667,2609.3333333,2581.0,2692.0,2669.0,2740.0,2843.0,2487.0,2131.0,1775.0,1419.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,325.0,306.8571429,307.4285714,0
